City,Temperature,Humidity,Pressure,Datetime
Istanbul,7.36,100,1013,2026-03-23 14:01:14
Sydney,23.19,78,1020,2026-03-23 14:01:15
Melbourne,14.88,80,1017,2026-03-23 14:01:15
Brisbane,24.23,76,1016,2026-03-23 14:01:15
Perth,25.46,44,1014,2026-03-23 14:01:15
Auckland,18.68,64,1029,2026-03-23 14:01:15
Wellington,15.81,77,1029,2026-03-23 14:01:16
Sao Paulo,20.42,85,1015,2026-03-23 14:01:16
Rio de Janeiro,22.99,92,1012,2026-03-23 14:01:16
Buenos Aires,18.55,79,1012,2026-03-23 14:01:17
Santiago,15.18,57,1019,2026-03-23 14:01:17
Lima,21.61,86,1011,2026-03-23 14:01:17
Bogota,15.05,84,1015,2026-03-23 14:01:17
Cape Town,23.03,60,1015,2026-03-23 14:01:17
Johannesburg,17.84,97,1019,2026-03-23 14:01:18
Cairo,20.42,37,1012,2026-03-23 14:01:18
Lagos,29.74,72,1010,2026-03-23 14:01:18
Nairobi,19.62,83,1014,2026-03-23 14:01:18
Casablanca,15.96,77,1010,2026-03-23 14:01:18
Accra,27.23,89,1010,2026-03-23 14:01:19
Addis Ababa,18.49,63,1015,2026-03-23 14:01:19
Algiers,11.57,50,1014,2026-03-23 14:01:20
Tunis,16.62,56,1013,2026-03-23 14:01:20
Athens,12.72,69,1012,2026-03-23 14:01:20
Budapest,11.77,49,1016,2026-03-23 14:01:20
Prague,7.26,67,1017,2026-03-23 14:01:20
Warsaw,10.17,51,1018,2026-03-23 14:01:21
Lisbon,12.86,80,1013,2026-03-23 14:01:21
Karachi,30.9,40,1012,2026-03-23 14:01:21
Dhaka,27.99,47,1010,2026-03-23 14:01:22
Colombo,32.8,62,1009,2026-03-23 14:01:22
Kathmandu,20.12,60,1012,2026-03-23 14:01:22
Tashkent,20.95,41,1017,2026-03-23 14:01:23
Seattle,4.8,81,1022,2026-03-23 14:01:23
Boston,2.28,88,1008,2026-03-23 14:01:23
Philadelphia,12.82,88,1005,2026-03-23 14:01:24
Detroit,1.01,83,1017,2026-03-23 14:01:24
Anchorage,-3.81,75,1018,2026-03-23 14:01:24
Quito,9.53,94,1015,2026-03-23 14:01:25
La Paz,8.99,100,1016,2026-03-23 14:01:26
Montevideo,18.74,79,1014,2026-03-23 14:01:26
Asuncion,26.81,86,1006,2026-03-23 14:01:27
Caracas,25.08,82,1012,2026-03-23 14:01:27
Dar es Salaam,29.21,74,1014,2026-03-23 14:01:28
Kampala,27.16,51,1010,2026-03-23 14:01:28
Harare,23.79,70,1016,2026-03-23 14:01:28
Dakar,20.7,82,1013,2026-03-23 14:01:28
Tripoli,16.92,72,1012,2026-03-23 14:01:29
Mumbai,30.99,37,1010,2026-03-24 00:01:05
Delhi,22.05,68,1010,2026-03-24 00:01:05
Bangalore,24.27,61,1012,2026-03-24 00:01:05
Chennai,27.77,78,1011,2026-03-24 00:01:06
Kolkata,23.97,88,1011,2026-03-24 00:01:06
Hyderabad,25.73,73,1011,2026-03-24 00:01:06
London,13.64,60,1019,2026-03-24 00:01:06
Manchester,10.74,66,1017,2026-03-24 00:01:07
Paris,14.08,50,1021,2026-03-24 00:01:07
Berlin,11.68,51,1019,2026-03-24 00:01:07
Madrid,15.2,32,1016,2026-03-24 00:01:07
Rome,22.98,40,1017,2026-03-24 00:01:07
Amsterdam,9.38,71,1020,2026-03-24 00:01:08
Brussels,12.27,63,1021,2026-03-24 00:01:08
Vienna,11.18,54,1018,2026-03-24 00:01:08
Zurich,8.48,72,1020,2026-03-24 00:01:08
Stockholm,6.31,54,1011,2026-03-24 00:01:08
Oslo,6.05,42,1011,2026-03-24 00:01:09
Copenhagen,5.3,73,1019,2026-03-24 00:01:09
Helsinki,2.65,92,1009,2026-03-24 00:01:09
New York,4.87,87,1012,2026-03-24 00:01:10
Los Angeles,20.85,70,1013,2026-03-24 00:01:10
Chicago,3.64,52,1031,2026-03-24 00:01:10
Houston,26.91,62,1019,2026-03-24 00:01:10
Phoenix,32.91,18,1013,2026-03-24 00:01:10
San Antonio,26.44,48,1020,2026-03-24 00:01:11
San Diego,22.14,68,1014,2026-03-24 00:01:11
Dallas,23.63,50,1020,2026-03-24 00:01:11
San Jose,23.83,39,1018,2026-03-24 00:01:11
San Francisco,18.1,64,1018,2026-03-24 00:01:12
Toronto,1.68,71,1021,2026-03-24 00:01:12
Vancouver,7.46,64,1021,2026-03-24 00:01:12
Montreal,-0.51,72,1016,2026-03-24 00:01:12
Mexico City,21.64,21,1015,2026-03-24 00:01:12
Guadalajara,23.87,27,1012,2026-03-24 00:01:13
Tokyo,10.87,50,1015,2026-03-24 00:01:13
Osaka,7.2,67,1020,2026-03-24 00:01:13
Seoul,3.76,87,1020,2026-03-24 00:01:13
Busan,5.99,81,1021,2026-03-24 00:01:13
Beijing,8.94,40,1018,2026-03-24 00:01:13
Shanghai,11.92,76,1018,2026-03-24 00:01:14
Shenzhen,21.38,91,1013,2026-03-24 00:01:14
Guangzhou,22.9,69,1012,2026-03-24 00:01:14
Bangkok,28.94,74,1009,2026-03-24 00:01:15
Jakarta,26.78,79,1009,2026-03-24 00:01:15
Manila,24.43,71,1011,2026-03-24 00:01:15
Singapore,26.82,82,1009,2026-03-24 00:01:15
Kuala Lumpur,27.75,83,1009,2026-03-24 00:01:16
Dubai,22.58,69,1011,2026-03-24 00:01:16
Abu Dhabi,22.27,75,1012,2026-03-24 00:01:16
Riyadh,23.91,46,1009,2026-03-24 00:01:16
Doha,22.97,78,1010,2026-03-24 00:01:16
Istanbul,8.45,100,1013,2026-03-24 00:01:17
Sydney,18.99,94,1019,2026-03-24 00:01:17
Melbourne,28.39,40,1017,2026-03-24 00:01:17
Brisbane,20.21,90,1014,2026-03-24 00:01:17
Perth,17.28,73,1015,2026-03-24 00:01:17
Auckland,15.87,58,1029,2026-03-24 00:01:17
Wellington,14.2,81,1028,2026-03-24 00:01:17
Sao Paulo,27.99,56,1012,2026-03-24 00:01:18
Rio de Janeiro,29.75,69,1010,2026-03-24 00:01:18
Buenos Aires,24.12,47,1011,2026-03-24 00:01:18
Santiago,24.39,30,1016,2026-03-24 00:01:18
Lima,22.14,78,1011,2026-03-24 00:01:18
Bogota,15.48,79,1012,2026-03-24 00:01:19
Cape Town,22.16,72,1011,2026-03-24 00:01:19
Johannesburg,15.58,95,1020,2026-03-24 00:01:19
Cairo,18.42,45,1011,2026-03-24 00:01:19
Lagos,27.17,80,1007,2026-03-24 00:01:19
Nairobi,17.11,93,1015,2026-03-24 00:01:19
Casablanca,18.07,77,1013,2026-03-24 00:01:20
Accra,29.23,79,1007,2026-03-24 00:01:20
Addis Ababa,16.39,74,1014,2026-03-24 00:01:20
Algiers,13.79,50,1018,2026-03-24 00:01:21
Tunis,16.88,63,1013,2026-03-24 00:01:21
Athens,11.79,73,1012,2026-03-24 00:01:21
Budapest,12.21,49,1017,2026-03-24 00:01:21
Prague,9.89,48,1019,2026-03-24 00:01:22
Warsaw,10.17,42,1017,2026-03-24 00:01:22
Lisbon,19.63,66,1014,2026-03-24 00:01:22
Karachi,24.9,73,1012,2026-03-24 00:01:22
Dhaka,21.99,78,1011,2026-03-24 00:01:23
Colombo,28.91,77,1011,2026-03-24 00:01:23
Kathmandu,16.12,82,1014,2026-03-24 00:01:23
Tashkent,16.09,56,1019,2026-03-24 00:01:23
Seattle,7.67,75,1021,2026-03-24 00:01:23
Boston,2.14,85,1011,2026-03-24 00:01:24
Philadelphia,6.89,91,1012,2026-03-24 00:01:25
Detroit,2.52,69,1025,2026-03-24 00:01:25
Anchorage,-9.3,65,1020,2026-03-24 00:01:25
Quito,19.53,82,1013,2026-03-24 00:01:25
La Paz,14.99,54,1010,2026-03-24 00:01:25
Montevideo,20.91,81,1010,2026-03-24 00:01:25
Asuncion,29.98,67,1006,2026-03-24 00:01:26
Caracas,28.71,53,1011,2026-03-24 00:01:26
Dar es Salaam,24.4,93,1013,2026-03-24 00:01:26
Kampala,18.94,90,1012,2026-03-24 00:01:27
Harare,17.34,91,1016,2026-03-24 00:01:27
Dakar,21.25,77,1012,2026-03-24 00:01:27
Tripoli,17.92,63,1014,2026-03-24 00:01:27
Mumbai,30.99,37,1010,2026-03-24 01:01:05
Delhi,22.05,68,1011,2026-03-24 01:01:05
Bangalore,23.42,66,1012,2026-03-24 01:01:06
Chennai,27.77,78,1011,2026-03-24 01:01:06
Kolkata,23.97,88,1011,2026-03-24 01:01:06
Hyderabad,25.73,73,1011,2026-03-24 01:01:06
London,12.64,63,1020,2026-03-24 01:01:07
Manchester,10.08,70,1017,2026-03-24 01:01:07
Paris,12.66,57,1021,2026-03-24 01:01:07
Berlin,11.33,50,1019,2026-03-24 01:01:07
Madrid,13.54,39,1018,2026-03-24 01:01:07
Rome,21.92,45,1018,2026-03-24 01:01:08
Amsterdam,8.72,72,1020,2026-03-24 01:01:08
Brussels,10.19,70,1021,2026-03-24 01:01:08
Vienna,9.83,58,1019,2026-03-24 01:01:08
Zurich,7.71,73,1020,2026-03-24 01:01:08
Stockholm,5.74,55,1011,2026-03-24 01:01:09
Oslo,6.05,42,1011,2026-03-24 01:01:09
Copenhagen,5.01,76,1019,2026-03-24 01:01:09
Helsinki,2.34,91,1009,2026-03-24 01:01:09
New York,5.3,83,1013,2026-03-24 01:01:09
Los Angeles,23.39,64,1013,2026-03-24 01:01:10
Chicago,3.92,52,1031,2026-03-24 01:01:10
Houston,28.41,55,1018,2026-03-24 01:01:10
Phoenix,34.19,14,1013,2026-03-24 01:01:10
San Antonio,27.73,41,1019,2026-03-24 01:01:10
San Diego,23.09,65,1014,2026-03-24 01:01:11
Dallas,25.28,49,1019,2026-03-24 01:01:11
San Jose,26.45,27,1018,2026-03-24 01:01:11
San Francisco,19.34,63,1018,2026-03-24 01:01:11
Toronto,2.37,61,1021,2026-03-24 01:01:11
Vancouver,8.73,61,1021,2026-03-24 01:01:12
Montreal,-0.25,72,1017,2026-03-24 01:01:12
Mexico City,22.75,15,1013,2026-03-24 01:01:12
Guadalajara,25.87,24,1010,2026-03-24 01:01:12
Tokyo,10.39,49,1015,2026-03-24 01:01:12
Osaka,7.2,67,1019,2026-03-24 01:01:13
Seoul,2.76,93,1019,2026-03-24 01:01:13
Busan,5.99,75,1021,2026-03-24 01:01:13
Beijing,7.94,41,1017,2026-03-24 01:01:13
Shanghai,11.92,71,1017,2026-03-24 01:01:14
Shenzhen,21.1,92,1012,2026-03-24 01:01:14
Guangzhou,22.56,77,1011,2026-03-24 01:01:14
Bangkok,30.79,62,1009,2026-03-24 01:01:14
Jakarta,26.78,80,1010,2026-03-24 01:01:14
Manila,24.38,72,1010,2026-03-24 01:01:15
Singapore,26.18,84,1009,2026-03-24 01:01:15
Kuala Lumpur,27.75,83,1008,2026-03-24 01:01:15
Dubai,22.35,71,1012,2026-03-24 01:01:15
Abu Dhabi,22.05,76,1011,2026-03-24 01:01:15
Riyadh,22.95,51,1010,2026-03-24 01:01:16
Doha,22.97,76,1010,2026-03-24 01:01:16
Istanbul,8.45,100,1014,2026-03-24 01:01:16
Sydney,18.96,95,1019,2026-03-24 01:01:16
Melbourne,28.99,39,1016,2026-03-24 01:01:17
Brisbane,19.95,91,1015,2026-03-24 01:01:17
Perth,17.34,72,1015,2026-03-24 01:01:17
Auckland,16.12,57,1030,2026-03-24 01:01:18
Wellington,14.2,85,1029,2026-03-24 01:01:18
Sao Paulo,26.69,60,1013,2026-03-24 01:01:18
Rio de Janeiro,25.2,78,1011,2026-03-24 01:01:18
Buenos Aires,24.25,45,1010,2026-03-24 01:01:19
Santiago,25.38,29,1015,2026-03-24 01:01:19
Lima,22.14,73,1011,2026-03-24 01:01:19
Bogota,15.78,70,1012,2026-03-24 01:01:20
Cape Town,22.41,71,1011,2026-03-24 01:01:20
Johannesburg,15.35,95,1020,2026-03-24 01:01:20
Cairo,17.42,59,1011,2026-03-24 01:01:21
Lagos,27.48,81,1009,2026-03-24 01:01:21
Nairobi,16.62,100,1015,2026-03-24 01:01:21
Casablanca,18.07,77,1013,2026-03-24 01:01:21
Accra,26.23,65,1009,2026-03-24 01:01:22
Addis Ababa,16.49,67,1015,2026-03-24 01:01:22
Algiers,13.23,50,1018,2026-03-24 01:01:22
Tunis,16.35,64,1014,2026-03-24 01:01:23
Athens,11.14,74,1013,2026-03-24 01:01:23
Budapest,11.12,53,1018,2026-03-24 01:01:24
Prague,8.47,52,1019,2026-03-24 01:01:24
Warsaw,9.35,46,1018,2026-03-24 01:01:24
Lisbon,17.75,71,1015,2026-03-24 01:01:25
Karachi,23.9,83,1012,2026-03-24 01:01:25
Dhaka,20.99,83,1012,2026-03-24 01:01:25
Colombo,28.35,79,1010,2026-03-24 01:01:25
Kathmandu,16.12,82,1014,2026-03-24 01:01:26
Tashkent,15.76,57,1019,2026-03-24 01:01:26
Seattle,8.52,70,1020,2026-03-24 01:01:26
Boston,2.29,84,1012,2026-03-24 01:01:27
Philadelphia,6.48,87,1014,2026-03-24 01:01:27
Detroit,2.29,71,1025,2026-03-24 01:01:27
Anchorage,-7.06,56,1020,2026-03-24 01:01:27
Quito,17.53,83,1013,2026-03-24 01:01:28
La Paz,12.99,76,1010,2026-03-24 01:01:28
Montevideo,20.22,78,1009,2026-03-24 01:01:28
Asuncion,29.1,67,1005,2026-03-24 01:01:29
Caracas,28.16,55,1010,2026-03-24 01:01:29
Dar es Salaam,24.11,94,1013,2026-03-24 01:01:29
Kampala,18.94,90,1012,2026-03-24 01:01:29
Harare,18.79,87,1017,2026-03-24 01:01:30
Dakar,21.25,78,1013,2026-03-24 01:01:30
Tripoli,15.92,67,1014,2026-03-24 01:01:30
Mumbai,29.99,45,1011,2026-03-24 09:22:18
Delhi,24.05,60,1012,2026-03-24 09:22:18
Bangalore,26.16,62,1014,2026-03-24 09:22:18
Chennai,29.04,74,1012,2026-03-24 09:22:18
Kolkata,27.97,74,1012,2026-03-24 09:22:19
